✓,Card,Type,Color,View,Picked By,
✓,Mizzium Mortars,Sorcery,R,View,ebbitten,$K$23
,Mizzix's Mastery,Sorcery,R,View,,
✓,Pyrite Spellbomb,Artifact,R,View,Balbadorf,$J$36
✓,Chainsaw,Artifact — Equipment,R,View,ebbitten,$K$9
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,ebbitten,$K$5
✓,Legion Extruder,Artifact,R,View,Balbadorf,$J$48
✓,Embercleave,Legendary Artifact — Equipment,R,View,ebbitten,$K$36
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,dgcritch,$I$9
✓,Goblin Bombardment,Enchantment,R,View,samp,$E$10
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,Bludac,$D$4
,Fires of Invention,Enchantment,R,View,,
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,dgcritch,$I$38
✓,Arena of Glory,Land,R,View,dgcritch,$I$27
✓,Birds of Paradise,Creature — Bird,G,View,drewshaver,$L$8
✓,Elvish Mystic,Creature — Elf Druid,G,View,drewshaver,$L$23
✓,Llanowar Elves,Creature — Elf Druid,G,View,clorpy,$F$20
✓,Molt Tender,Creature — Insect Druid,G,View,drewshaver,$L$21
✓,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,drewshaver,$L$45
✓,Sazh's Chocobo,Creature — Bird,G,View,ebbitten,$K$46
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,clorpy,$F$36
✓,Badgermole Cub,Creature — Badger Mole,G,View,clorpy,$F$4
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,clorpy,$F$25
✓,Cankerbloom,Creature — Phyrexian Fungus,G,View,joshez,$C$40
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,clorpy,$F$13
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,drewshaver,$L$24
✓,Lotus Cobra,Creature — Snake,G,View,clorpy,$F$45
,Nishoba Brawler,Creature — Cat Warrior,G,View,,
,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,,
✓,Scavenging Ooze,Creature — Ooze,G,View,drewshaver,$L$25
✓,Scythecat Cub,Creature — Cat,G,View,clorpy,$F$15
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,clorpy,$F$22
✓,Sylvan Caryatid,Creature — Plant,G,View,clorpy,$F$23
✓,Tarmogoyf,Creature — Lhurgoyf,G,View,drewshaver,$L$46
✓,Tough Cookie,Artifact Creature — Food Golem,G,View,ebbitten,$K$44
,Voracious Hydra,Creature — Hydra,G,View,,
✓,Endurance,Creature — Elemental Incarnation,G,View,clorpy,$F$35
✓,Eternal Witness,Creature — Human Shaman,G,View,drewshaver,$L$26
,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,,
,Sandstorm Salvager,Creature — Human Artificer,G,View,,
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,drewshaver,$L$13
✓,Six,Legendary Creature — Treefolk,G,View,clorpy,$F$12
✓,"Surrak, Elusive Hunter",Legendary Creature — Human Warrior,G,View,drewshaver,$L$31
,Tireless Tracker,Creature — Human Scout,G,View,,
,Bristlebud Farmer,Creature — Plant Druid,G,View,,
✓,Icetill Explorer,Creature — Insect Scout,G,View,clorpy,$F$5
,"Polukranos, World Eater",Legendary Creature — Hydra,G,View,,
✓,Questing Beast,Legendary Creature — Beast,G,View,drewshaver,$L$16
✓,Timeless Witness,Creature — Human Shaman,G,View,drewshaver,$L$27
✓,Ulvenwald Oddity,Creature — Beast,G,View,clorpy,$F$40
✓,Agonasaur Rex,Creature — Dinosaur,G,View,drewshaver,$L$48
✓,Balustrade Wurm,Creature — Wurm,G,View,drewshaver,$L$32
,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,,
✓,Thragtusk,Creature — Beast,G,View,Neo,$G$48
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,clorpy,$F$16
,Generous Ent,Creature — Treefolk,G,View,,
✓,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,clorpy,$F$44
,Primeval Titan,Creature — Giant,G,View,,
,Titan of Industry,Creature — Elemental,G,View,,
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,clorpy,$F$28
,Woodfall Primus,Creature — Treefolk Shaman,G,View,,
✓,Inscription of Abundance,Instant,G,View,clorpy,$F$46
✓,Green Sun's Zenith,Sorcery,G,View,clorpy,$F$31
✓,Pest Infestation,Sorcery,G,View,clorpy,$F$18
,Primal Might,Sorcery,G,View,,
,Esper Origins,Sorcery,G,View,,
✓,Malevolent Rumble,Sorcery,G,View,drewshaver,$L$11
,Lumbering Worldwagon,Artifact — Vehicle,G,View,,
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,drewshaver,$L$17
,The Great Henge,Legendary Artifact,G,View,,
,Exploration,Enchantment,G,View,,
✓,Utopia Sprawl,Enchantment — Aura,G,View,Neo,$G$47
✓,Birthing Ritual,Enchantment,G,View,Bludac,$D$16
✓,Hunter's Talent,Enchantment — Class,G,View,clorpy,$F$26
,Innkeeper's Talent,Enchantment — Class,G,View,,
