✓,Card,Type,Color,View,Picked By,
✓,Thoughtseize,Sorcery,B,View,dkriddles,$E$4
✓,Unearth,Sorcery,B,View,Andrew 420,$H$35
✓,Collective Brutality,Sorcery,B,View,arborist77,$K$36
✓,Demonic Tutor,Sorcery,B,View,Andrew 420,$H$4
✓,Fell,Sorcery,B,View,dkriddles,$E$31
✓,Persist,Sorcery,B,View,Andrew 420,$H$29
✓,Quag Feast,Sorcery,B,View,aidybaby,$F$23
✓,Toxic Deluge,Sorcery,B,View,Andrew 420,$H$8
✓,Damnation,Sorcery,B,View,dkriddles,$E$9
✓,Gix's Command,Sorcery,B,View,dkriddles,$E$18
,Scavenger's Talent,Enchantment — Class,B,View,,
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,aidybaby,$F$17
✓,Chthonian Nightmare,Enchantment,B,View,aidybaby,$F$11
✓,The Meathook Massacre,Legendary Enchantment,B,View,aidybaby,$F$7
✓,Necromancy,Enchantment,B,View,dkriddles,$E$7
✓,Virtue of Persistence,Enchantment,B,View,Andrew 420,$H$20
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,Andrew 420,$H$17
✓,Phyrexian Tower,Legendary Land,B,View,aidybaby,$F$39
✓,Spymaster's Vault,Land,B,View,arborist77,$K$37
✓,Bomat Courier,Artifact Creature — Construct,R,View,aidybaby,$F$33
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,giya76,$J$45
✓,Grim Lavamancer,Creature — Human Wizard,R,View,aidybaby,$F$21
,Heartfire Hero,Creature — Mouse Soldier,R,View,,
✓,Hired Claw,Creature — Lizard Mercenary,R,View,aidybaby,$F$20
✓,Marauding Mako,Creature — Shark Pirate,R,View,Adhavoc,$D$34
✓,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,SL Veg Zombie,$C$34
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,aidybaby,$F$4
✓,Voldaren Epicure,Creature — Vampire,R,View,aidybaby,$F$44
✓,Amped Raptor,Creature — Dinosaur,R,View,aidybaby,$F$19
✓,Bloodthirsty Adversary,Creature — Vampire,R,View,aidybaby,$F$37
✓,Dragonkin Berserker,Creature — Human Berserker,R,View,aidybaby,$F$43
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,SL Veg Zombie,$C$8
✓,Earthshaker Khenra,Creature — Jackal Warrior,R,View,aidybaby,$F$42
,Emberheart Challenger,Creature — Mouse Warrior,R,View,,
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,Adhavoc,$D$9
✓,Generous Plunderer,Creature — Human Rogue,R,View,Adhavoc,$D$33
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,Adhavoc,$D$10
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,nicKnaack,$I$27
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,aidybaby,$F$41
✓,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,Adhavoc,$D$41
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,aidybaby,$F$45
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,nicKnaack,$I$42
✓,Searslicer Goblin,Creature — Goblin Warrior,R,View,aidybaby,$F$32
✓,Bonecrusher Giant,Creature — Giant,R,View,nicKnaack,$I$21
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,Adhavoc,$D$25
,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,,
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,SL Veg Zombie,$C$12
,Rampaging Ferocidon,Creature — Dinosaur,R,View,,
✓,Screaming Nemesis,Creature — Spirit,R,View,nicKnaack,$I$45
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,Adhavoc,$D$15
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,nicKnaack,$I$13
,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,,
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,nicKnaack,$I$5
,Rampaging Raptor,Creature — Dinosaur,R,View,,
✓,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,nicKnaack,$I$46
✓,Fury,Creature — Elemental Incarnation,R,View,nicKnaack,$I$6
✓,Glorybringer,Creature — Dragon,R,View,nicKnaack,$I$40
,Goldspan Dragon,Creature — Dragon,R,View,,
✓,Zealous Conscripts,Creature — Human Warrior,R,View,Andrew 420,$H$47
✓,Oliphaunt,Creature — Elephant,R,View,Adhavoc,$D$27
,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,,
✓,Trumpeting Carnosaur,Creature — Dinosaur,R,View,Andrew 420,$H$33
✓,Burst Lightning,Instant,R,View,nicKnaack,$I$33
✓,Fire Magic,Instant,R,View,Andrew 420,$H$24
✓,Lightning Bolt,Instant,R,View,SL Veg Zombie,$C$7
,Monstrous Rage,Instant,R,View,,
✓,Torch the Tower,Instant,R,View,Adhavoc,$D$29
✓,Unholy Heat,Instant,R,View,nicKnaack,$I$20
✓,Abrade,Instant,R,View,nicKnaack,$I$26
✓,Ghostfire Slice,Instant,R,View,aidybaby,$F$34
✓,Mine Collapse,Instant,R,View,Adhavoc,$D$42
,Fireblast,Instant,R,View,,
✓,Pyrokinesis,Instant,R,View,Adhavoc,$D$20
✓,Chain Lightning,Sorcery,R,View,SL Veg Zombie,$C$20
✓,Faithless Looting,Sorcery,R,View,giya76,$J$46
✓,Flame Slash,Sorcery,R,View,Adhavoc,$D$22
