 ,Card,Type,Color,View,UR,
,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,,
✓,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,clong,$K$43
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Mr. Fancypants,$L$20
✓,"The Mechanist, Aerial Artisan",Legendary Creature — Human Artificer Ally,U,View,Mr. Fancypants,$L$22
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,Greg,$I$42
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,Greg,$I$28
,Micromancer,Creature — Human Wizard,U,View,,
✓,Subtlety,Creature — Elemental Incarnation,U,View,Greg,$I$8
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,Mr. Fancypants,$L$5
,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,,
✓,Quantum Riddler,Creature — Sphinx,U,View,clong,$K$5
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,Greg,$I$18
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,clong,$K$20
✓,Torrential Gearhulk,Artifact Creature — Construct,U,View,clong,$K$26
✓,Brainstorm,Instant,U,View,Mr. Fancypants,$L$17
✓,Consider,Instant,U,View,dillon_k,$G$36
✓,Fading Hope,Instant,U,View,Nova,$J$46
,Force Spike,Instant,U,View,,
,Opt,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,dillon_k,$G$28
✓,Stern Scolding,Instant,U,View,Greg,$I$47
,Thought Scour,Instant,U,View,,
✓,Three Steps Ahead,Instant,U,View,clong,$K$40
✓,Consult the Star Charts,Instant,U,View,dillon_k,$G$26
✓,Counterspell,Instant,U,View,Mr. Fancypants,$L$14
✓,Make Disappear,Instant,U,View,Greg,$I$43
✓,Mana Leak,Instant,U,View,Mr. Fancypants,$L$6
✓,Memory Lapse,Instant,U,View,clong,$K$6
✓,Miscalculation,Instant,U,View,Greg,$I$24
✓,Remand,Instant,U,View,Greg,$I$6
,Cryptic Command,Instant,U,View,,
✓,Mystic Confluence,Instant,U,View,clong,$K$10
✓,Sublime Epiphany,Instant,U,View,Mr. Fancypants,$L$10
✓,Commit // Memory,Instant,U,View,dillon_k,$G$47
,Hard Evidence,Sorcery,U,View,,
✓,Ponder,Sorcery,U,View,dillon_k,$G$39
✓,Preordain,Sorcery,U,View,Greg,$I$35
✓,Chart a Course,Sorcery,U,View,Mr. Fancypants,$L$41
✓,Stock Up,Sorcery,U,View,Greg,$I$4
✓,Unnerving Grasp,Sorcery,U,View,Greg,$I$36
,Winternight Stories,Sorcery,U,View,,
✓,Lórien Revealed,Sorcery,U,View,clong,$K$11
✓,Temporal Manipulation,Sorcery,U,View,clong,$K$31
✓,Time Warp,Sorcery,U,View,clong,$K$32
✓,Treasure Cruise,Sorcery,U,View,clong,$K$44
✓,Aether Spellbomb,Artifact,U,View,Mr. Fancypants,$L$25
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,Mr. Fancypants,$L$48
✓,Cryptic Coat,Artifact — Equipment,U,View,Greg,$I$14
✓,Stormchaser's Talent,Enchantment — Class,U,View,clong,$K$36
✓,Unable to Scream,Enchantment — Aura,U,View,clong,$K$35
✓,Dress Down,Enchantment,U,View,dillon_k,$G$40
,Proft's Eidetic Memory,Legendary Enchantment,U,View,,
,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,,
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,clong,$K$46
✓,Mystic Sanctuary,Land — Island,U,View,Greg,$I$22
✓,"Otawara, Soaring City",Legendary Land,U,View,clong,$K$13
✓,Concealing Curtains,Creature — Wall,B,View,Keith,$D$44
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,Keith,$D$27
✓,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,Keith,$D$18
,Nethergoyf,Creature — Lhurgoyf,B,View,,
,Stalactite Stalker,Creature — Goblin Rogue,B,View,,
,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,,
,Bloodghast,Creature — Vampire Spirit,B,View,,
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,Greg,$I$23
✓,Dark Confidant,Creature — Human Wizard,B,View,philjackson,$H$25
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,Keith,$D$19
✓,Deep-Cavern Bat,Creature — Bat,B,View,Greg,$I$11
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,philjackson,$H$46
✓,Marionette Apprentice,Creature — Human Artificer,B,View,philjackson,$H$20
✓,Misery's Shadow,Creature — Shade,B,View,Keith,$D$29
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,philjackson,$H$45
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,philjackson,$H$13
✓,Sunset Saboteur,Creature — Human Rogue,B,View,philjackson,$H$32
✓,Tenacious Underdog,Creature — Human Warrior,B,View,Keith,$D$30
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,Keith,$D$26
✓,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,Greg,$I$37
,Ophiomancer,Creature — Human Shaman,B,View,,
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,Keith,$D$20
✓,Raven Eagle,Creature — Bird Assassin,B,View,philjackson,$H$23
,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,,
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,philjackson,$H$7
,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,,
,Woe Strider,Creature — Horror,B,View,,
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,Keith,$D$38
✓,Grief,Creature — Elemental Incarnation,B,View,Keith,$D$10
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,Keith,$D$45
,"Rankle, Master of Pranks",Legendary Creature — Faerie Rogue,B,View,,
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,philjackson,$H$5
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,philjackson,$H$15
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,philjackson,$H$11
✓,Crabomination,Creature — Crab Demon,B,View,Keith,$D$8
,Grave Titan,Creature — Giant,B,View,,
✓,Troll of Khazad-dûm,Creature — Troll,B,View,philjackson,$H$34
✓,Cut Down,Instant,B,View,philjackson,$H$27
,Dark Ritual,Instant,B,View,,
✓,Fatal Push,Instant,B,View,Keith,$D$9
