,Card,Type,Color,View,Picked By,
,Outcaster Trailblazer,Creature — Human Druid,G,View,,
,Sandstorm Salvager,Creature — Human Artificer,G,View,,
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,coopergfrye,$C$21
✓,Six,Legendary Creature — Treefolk,G,View,coopergfrye,$C$11
✓,Tireless Provisioner,Creature — Elf Scout,G,View,clorpy,$J$22
✓,Tireless Tracker,Creature — Human Scout,G,View,clorpy,$J$20
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,philjackson,$H$31
✓,Icetill Explorer,Creature — Insect Scout,G,View,philjackson,$H$7
✓,Nightpack Ambusher,Creature — Wolf,G,View,clorpy,$J$36
✓,Questing Beast,Legendary Creature — Beast,G,View,clorpy,$J$48
,Timeless Witness,Creature — Human Shaman,G,View,,
✓,Ulvenwald Oddity,Creature — Beast,G,View,clorpy,$J$37
✓,Agonasaur Rex,Creature — Dinosaur,G,View,philjackson,$H$37
✓,Balustrade Wurm,Creature — Wurm,G,View,philjackson,$H$32
✓,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,clorpy,$J$26
,Summon: Titan,Enchantment Creature — Saga Giant,G,View,,
✓,Thragtusk,Creature — Beast,G,View,clorpy,$J$41
✓,Generous Ent,Creature — Treefolk,G,View,clorpy,$J$32
✓,"Kogla, the Titan Ape",Legendary Creature — Ape,G,View,clorpy,$J$47
✓,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,coopergfrye,$C$46
✓,Primeval Titan,Creature — Giant,G,View,clorpy,$J$9
,Titan of Industry,Creature — Elemental,G,View,,
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,clorpy,$J$35
✓,Inscription of Abundance,Instant,G,View,clorpy,$J$23
✓,Green Sun's Zenith,Sorcery,G,View,coopergfrye,$C$45
✓,Primal Might,Sorcery,G,View,clorpy,$J$42
✓,Esper Origins,Sorcery,G,View,philjackson,$H$38
✓,Malevolent Rumble,Sorcery,G,View,clorpy,$J$6
✓,Bridgeworks Battle,Sorcery,G,View,clorpy,$J$33
,Lumbering Worldwagon,Artifact — Vehicle,G,View,,
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,clorpy,$J$17
✓,The Great Henge,Legendary Artifact,G,View,clorpy,$J$39
✓,Utopia Sprawl,Enchantment — Aura,G,View,coopergfrye,$C$24
✓,Hunter's Talent,Enchantment — Class,G,View,coopergfrye,$C$22
✓,Innkeeper's Talent,Enchantment — Class,G,View,philjackson,$H$20
✓,Ranger Class,Enchantment — Class,G,View,philjackson,$H$28
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,clorpy,$J$15
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,clorpy,$J$30
✓,"Boseiju, Who Endures",Legendary Land,G,View,clorpy,$J$18
✓,Shifting Woodland,Land,G,View,philjackson,$H$41
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,coopergfrye,$C$26
✓,Spell Queller,Creature — Spirit,WU,View,aviseras,$L$43
,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,,
✓,No More Lies,Instant,WU,View,aviseras,$L$42
,Supreme Verdict,Sorcery,WU,View,,
,Talisman of Progress,Artifact,WU,View,,
✓,Assimilation Aegis,Artifact — Equipment,WU,View,coopergfrye,$C$30
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,coopergfrye,$C$20
✓,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,aviseras,$L$47
✓,Celestial Colonnade,Land,WU,View,aviseras,$L$41
✓,Hallowed Fountain,Land — Plains Island,WU,View,adhavoc,$E$17
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,aviseras,$L$18
✓,Meticulous Archive,Land — Plains Island,WU,View,aviseras,$L$40
✓,Seachrome Coast,Land,WU,View,aviseras,$L$23
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,tendertouch,$K$29
✓,Priest of Fell Rites,Creature — Human Warlock,WB,View,ILIJILILI,$D$37
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,lastabzan,$F$47
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,lastabzan,$F$8
✓,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,ILIJILILI,$D$42
